ticket_id,enteredDate,lastModified,closedDate,status,contactMethod,category,description,department,location,city,state,zip,latitude,longitude
170167,"2019-09-01 15:29:40","2019-09-03 11:16:17","2019-09-03 11:16:17",closed,"Web Form","Blocked Sidewalk","Sidewalk on south side of E2nd between Woodscrest and College Mall is blocked by overgrown bushes.","Planning and Transportation","601 S Woodscrest Dr, Bloomington, Indiana, 47401",Bloomington,IN,,39.16086578369141,-86.50187683105469
170168,"2019-09-01 16:12:21","2019-09-04 09:06:44","2019-09-04 09:06:44",closed,"Web Form","Blocked Sidewalk","A tree between the road and sidewalk at 1002 E. Heather has two large branches (about 9 inch diameters) broken off. The branches are blocking the sidewalk and extending into the road. The remained of the tree may have to be removed also.","Street Department","732 E Pepperridge Dr, Bloomington, Indiana, 47401",Bloomington,IN,,39.12483215332031,-86.52239227294922
170184,"2019-09-03 08:52:28","2019-09-03 10:35:20","2019-09-03 10:35:20",closed,"Web Form","Blocked Sidewalk","Car on sidewalk outside quaff on on grant st","Parking Enforcement","116 N Grant St, Bloomington, Indiana, 47408",Bloomington,IN,,39.16705322265625,-86.52972412109375
170185,"2019-09-03 09:40:06","2019-09-03 10:28:26","2019-09-03 10:28:26",closed,"Web Form","Blocked Sidewalk","Metal cable dangling over sidewalk from power line at head-height. North side of street, directly next to Barrington bus stop.","Planning and Transportation","3815-3839 E 10th St, Bloomington, Indiana, 47408",Bloomington,IN,,39.17179489135742,-86.48876953125000
170203,"2019-09-04 07:25:31","2019-09-25 11:43:44","2019-09-25 11:43:44",closed,"Web Form","Blocked Sidewalk",Overgrown,"Planning and Transportation","400-498 E Cottage Grove Ave, Bloomington, Indiana, 47408",Bloomington,IN,,39.17256546020508,-86.52956390380860
170249,"2019-09-06 14:47:22","2019-09-06 14:48:55","2019-09-06 14:48:55",closed,"Web Form","Blocked Sidewalk","Pedestrian crosswalk needed at 10th St. and Pete Ellis Drive.","Planning and Transportation","501 N Morton St, Bloomington, Indiana, 47404",Bloomington,IN,,39.17051315307617,-86.53685760498047
170271,"2019-09-09 12:44:42","2019-09-12 17:09:21","2019-09-12 17:09:21",closed,"Web Form","Blocked Sidewalk","The corner of the construction fence on E. 10th St. where Crosstown Shopping Center used to be (by Sobon and Jimmy John's) keeps getting pushed out more and more into the sidewalk, making it inaccessible to wheelchairs and a trip hazard even for those with no mobility issues.","Planning and Transportation","1811-1873 E 10th St, Bloomington, Indiana, 47408",Bloomington,IN,,39.17159652709961,-86.51035308837890
170285,"2019-09-10 09:27:22","2019-09-10 11:33:38",,open,"Web Form","Blocked Sidewalk","A broken, low lying limb is blocking the sidewalk in front of the home at 733 E. Winslow Farm Dr.  I am requesting that this limb be removed.","Planning and Transportation","733 E Winslow Farm Dr, Bloomington, Indiana, 47401",Bloomington,IN,,39.13833618164062,-86.51823425292969
170292,"2019-09-10 14:14:24","2019-09-10 14:31:59","2019-09-10 14:31:59",closed,"Web Form","Blocked Sidewalk","Trash containers are left by residents and city trash workers on  sidewalks. I've run across this issue on Washington St as well as other streets.","Sanitation Department","8500-8540 S Sacramento Ave, Chicago, Illinois, 60652",Bloomington,IN,,41.73765945434570,-87.69755554199219
170302,"2019-09-11 09:26:59","2019-09-11 09:34:25","2019-09-11 09:34:25",closed,Other,"Blocked Sidewalk","trash and boxes blocking sidewalk",HAND,,Bloomington,IN,,39.16077041625977,-86.52402496337890
170359,"2019-09-14 20:25:55","2019-09-16 09:47:55","2019-09-16 09:47:55",closed,"Web Form","Blocked Sidewalk","The plants on both sides of the path are a little overgrown but the real problem is a very solid low hanging branch that is a real hazard. And another low hanging branch that is likely to hit you in the face with pears.","Planning and Transportation","1714 E Caradon Hl, Bloomington, Indiana, 47401",Bloomington,IN,,39.13673400878906,-86.51202392578125
170372,"2019-09-16 19:13:12","2019-09-17 09:22:05","2019-09-17 09:22:05",closed,"Web Form","Blocked Sidewalk","1500 s Huntington. One car on the sidewalk and another one on the lawn. This happens all the time at this house.","Parking Enforcement","1500-1598 S Huntington Dr, Bloomington, Indiana, 47401",Bloomington,IN,,39.15041351318359,-86.52094268798828
170378,"2019-09-17 07:43:25","2019-09-17 09:12:15","2019-09-17 09:12:15",closed,"Web Form","Blocked Sidewalk","1500 S Highland.","Planning and Transportation","1500 S Highland Ave, Bloomington, Indiana, 47401",Bloomington,IN,,39.15041732788086,-86.51708221435547
170405,"2019-09-18 13:47:40","2019-09-20 13:17:22","2019-09-20 13:17:22",closed,"Web Form","Blocked Sidewalk","Street light at corner of Nancy  and Marilyn is out.","Public Works Department","1201-1299 S Nancy St, Bloomington, Indiana, 47401",Bloomington,IN,,39.15361022949219,-86.51108551025390
170421,"2019-09-19 10:50:02","2019-09-20 10:31:33","2019-09-20 10:31:33",closed,"Web Form","Blocked Sidewalk","Illinois plated pickup truck blocking sidewalk at SE corner of Howe and Rogers","Parking Enforcement","501 S Rogers St, Bloomington, Indiana, 47403",Bloomington,IN,,39.16229248046875,-86.53849029541016
170583,"2019-10-01 18:29:21","2019-10-07 08:50:22","2019-10-07 08:50:22",closed,"Web Form","Blocked Sidewalk",Overgrown,"Planning and Transportation","400-498 W 7th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.16858291625977,-86.53798675537110
170623,"2019-10-04 12:40:22","2019-11-19 09:43:01","2019-11-19 09:43:01",closed,"Web Form","Blocked Sidewalk","Bloomington bagel is blocking the sidewalk.","Planning and Transportation","Bloomington Bagel Company",Bloomington,IN,,39.16719436645508,-86.52832794189453
170629,"2019-10-04 18:27:22","2019-10-07 10:00:18","2019-10-07 10:00:18",closed,"Web Form","Blocked Sidewalk","Pickup truck parked across the sidewalk at Firestone Auto - 3rd and Walnut.","Parking Enforcement","320 W 8th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.17030334472656,-86.53694915771484
170685,"2019-10-11 12:25:50","2019-10-11 12:43:17","2019-10-11 12:43:17",closed,"Web Form","Blocked Sidewalk","Sidewalk and access ramp booked by dumpster. Behind MCPL on 6th street.","Parking Enforcement","301-399 E 6th St, Bloomington, Indiana, 47408",Bloomington,IN,,39.16755294799805,-86.53021240234375
170762,"2019-10-20 15:39:49","2019-10-21 09:16:11",,open,"Web Form","Blocked Sidewalk","Lime scooters blocking sidewalk.  Date: 10/20/19. Time: 3:30PM.  Location: near 126 S. Roosevelt St.  We tried to move them out of the way but the wheels lock up unless we pay.",Mobility,"126 S Roosevelt St, Bloomington, Indiana, 47408",Bloomington,IN,,39.16575241088867,-86.50630950927734
170789,"2019-10-22 17:14:48","2019-10-29 08:52:22","2019-10-29 08:52:22",closed,Other,"Blocked Sidewalk","710 E First St., vegetation obstructing sidewalk","Planning and Transportation",,Bloomington,IN,,39.15935516357422,-86.52519226074219
170857,"2019-11-01 10:19:42","2019-11-01 10:30:10","2019-11-01 10:30:10",closed,"Web Form","Blocked Sidewalk","Truck and trailer blocking crosswalk at SW corner of Howe and Madison St.","Parking Enforcement","500-698 S Madison St, Bloomington, Indiana, 47403",Bloomington,IN,,39.16234588623047,-86.53743743896484
170863,"2019-11-01 15:52:05","2019-11-08 08:42:20","2019-11-08 08:42:20",closed,"Web Form","Blocked Sidewalk","Resident's bushes are growing over the sidewalk and obstructing foot traffic.","Planning and Transportation","1013 S Rogers St, Bloomington, Indiana, 47403",Bloomington,IN,,39.15588760375977,-86.53857421875000
170889,"2019-11-04 15:31:20","2019-11-04 15:38:57","2019-11-04 15:38:57",closed,"Web Form","Blocked Sidewalk","sidewalk pedestrian hazard in front of speedway. there for years","Planning and Transportation","2985-3099 E 3rd St, Bloomington, Indiana, 47401",Bloomington,IN,,39.16421127319336,-86.49337005615234
170963,"2019-11-14 08:30:48","2019-11-18 09:32:33","2019-11-18 09:32:33",closed,"Web Form","Blocked Sidewalk","Blocked  w.9th","Parking Enforcement","536 N College Ave, Bloomington, Indiana, 47404",Bloomington,IN,,39.17147064208984,-86.53460693359375
170976,"2019-11-15 08:30:59","2019-11-18 09:31:29","2019-11-18 09:31:29",closed,"Web Form","Blocked Sidewalk","Nov. 15th
Again .west 9th street between walnut and  college 

Always around 8amish","Parking Enforcement","101-199 W 9th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.17042922973633,-86.53470611572266
171065,"2019-11-28 18:16:34","2020-01-09 14:20:40","2020-01-09 14:20:40",closed,"Web Form","Blocked Sidewalk","The Hunter foot path, between Eastside and Mitchell, which is maintained by the city, has a spring bubbling up through the pavement at the west end of the house at 500 Eastside Drive. You can see that the water is undercutting the pavement, and the city can expect that it will collapse in upon itself sooner or later. Hopefully, not when somebody is walking or biking over it.","Utilities T & D","320 W 8th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.17030715942383,-86.53694152832031
171155,"2019-12-06 16:26:00","2019-12-10 11:32:02","2019-12-10 11:32:02",closed,Other,"Blocked Sidewalk","1216 Hunter, sidewalk obstructed by comes and shrub branches","Planning and Transportation",,Bloomington,IN,,39.16226196289062,-86.51883697509766
171187,"2019-12-11 12:59:50","2019-12-19 16:53:01","2019-12-19 16:53:01",closed,"Phone Call","Blocked Sidewalk",,"Planning and Transportation","1215 E Hunter AVE",Bloomington,IN,47401,39.16239166259766,-86.51833343505860
171188,"2019-12-11 13:00:33","2019-12-13 11:51:00","2019-12-13 11:51:00",closed,"Phone Call","Blocked Sidewalk",,"Planning and Transportation","1216 E Hunter AVE",Bloomington,IN,47401,39.16198730468750,-86.51838684082031
171211,"2019-12-13 15:23:17","2019-12-20 14:47:13","2019-12-20 14:47:13",closed,"Web Form","Blocked Sidewalk","Retaining wall is beginning to collapse again. Currently, some large, limestone blocks are lying in the middle of and blocking the sidewalk on Lincoln at the NW corner of the property.","Planning and Transportation","800 N Lincoln St, Bloomington, Indiana, 47408",Bloomington,IN,,39.17362213134766,-86.53083801269531
171667,"2020-02-08 11:26:25","2020-02-13 10:21:51","2020-02-13 10:21:51",closed,Other,"Blocked Sidewalk","bushes overgrown onto sidewalk","Planning and Transportation","3818 E Regents Cir, Bloomington, Indiana, 47401",Bloomington,IN,,39.15032958984375,-86.48200225830078
171699,"2020-02-12 09:43:05","2020-02-12 12:16:57","2020-02-12 12:16:57",closed,Other,"Blocked Sidewalk","Resident parking on yellow and on sidewalk at corner of 7th & Oak.  There are issues with folks parking on yellow and sidewalks near intersections.  There are elderly, people with kids and pets all over this neighborhood and this creates a hazard for them.  Please ask parking enforcement to monitor West past Maple St.","Parking Enforcement","1001-1099 W 7th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.16861343383789,-86.54674530029297
171735,"2020-02-16 09:14:47","2020-02-24 16:51:05","2020-02-24 16:51:04",closed,Other,"Blocked Sidewalk","bushes overgrown onto sidewalk on north side of e.moores, between smith rd and regents circle.","Planning and Transportation","3393-3793 E Moores Pike, Bloomington, Indiana, 47401",Bloomington,IN,,39.15023040771484,-86.48196411132812
171759,"2020-02-19 08:57:12","2020-02-19 09:07:44","2020-02-19 09:07:44",closed,Other,"Blocked Sidewalk","Vehicle parked on sidewalk again.  Two folks along 7th do this on a regular basis.","Parking Enforcement","1101-1199 W 7th St, Bloomington, Indiana, 47404",Bloomington,IN,,39.16862869262695,-86.54717254638672
171791,"2020-02-22 17:52:22","2020-02-26 13:36:42","2020-02-26 13:36:42",closed,Other,"Blocked Sidewalk","Tree leaning over the sidewalk too low even for a short adult to walk under.  620 S. Park Ave.","Planning and Transportation","620 S Park Ave, Bloomington, Indiana, 47401",Bloomington,IN,,39.16053390502930,-86.52423858642578
171833,"2020-02-27 10:19:11","2020-02-27 10:20:16",,open,Other,"Blocked Sidewalk","Hedge needs trimming to allow pedestrian to use the (whole) sidewalk.   800 block of S. Park Ave., east side of street.","Planning and Transportation","800-898 S Stull Ave, Bloomington, Indiana, 47401",Bloomington,IN,,39.15848922729492,-86.52487945556640
